nohup: ignoring input
Morgan connected..
(node:595298) [MONGOOSE] DeprecationWarning: Mongoose: the `strictQuery` option will be switched back to `false` by default in Mongoose 7. Use `mongoose.set('strictQuery', false);` if you want to prepare for this change. Or use `mongoose.set('strictQuery', true);` to suppress this warning.
(Use `node --trace-deprecation ...` to show where the warning was created)
Server is listening on port : 5000
(node:595298) NOTE: The AWS SDK for JavaScript (v2) has reached end-of-support.
It will no longer receive updates or releases.

Please migrate your code to use AWS SDK for JavaScript (v3).
For more information, check the blog post at https://a.co/cUPnyil
Database connected successfully
GET /api/user_roles/get-all-except-admin 200 - - 2.952 ms
GET /api/env_variables/get-one?page=1&size=20 401 121 - 0.284 ms
GET /api/env_variables/public?page=1&size=20 200 385 - 1.974 ms
GET /api/site_settings/get-one 304 - - 4.358 ms
GET /api/user_roles/get-all-except-admin 304 - - 4.598 ms
GET /api/site_settings/get-one 304 - - 2.404 ms
GET /api/frontPage/home 200 - - 4.451 ms
GET /api/user_roles/get-all-except-admin 304 - - 5.960 ms
GET /api/feedbacks/get-all 200 - - 9.444 ms
GET /api/frontPage/get-all 200 - - 6.013 ms
GET /api/site_contents_about/get-one 200 - - 1.859 ms
GET /api/site_settings/get-one 304 - - 4.949 ms
GET /api/user_roles/get-all-except-admin 304 - - 4.557 ms
GET /api/frontPage/home 304 - - 7.007 ms
GET /api/frontPage/get-all 304 - - 3.645 ms
GET /api/user/verify 401 121 - 0.288 ms
GET / 304 - - 0.229 ms
GET /api/site_settings/get-one 304 - - 2.839 ms
GET /api/env_variables/get-one?page=1&size=20 401 121 - 0.211 ms
GET /api/user_roles/get-all-except-admin 304 - - 7.021 ms
GET /api/env_variables/public?page=1&size=20 304 - - 4.412 ms
GET /api/site_settings/get-one 304 - - 3.414 ms
GET /api/user_roles/get-all-except-admin 304 - - 6.289 ms
GET /api/site_settings/get-one 304 - - 3.418 ms
GET /api/user_roles/get-all-except-admin 304 - - 5.565 ms
GET /api/frontPage/home 304 - - 5.985 ms
GET /api/feedbacks/get-all 304 - - 6.147 ms
GET /api/user/verify 401 121 - 0.203 ms
GET /api/frontPage/get-all 304 - - 5.084 ms
GET /api/site_contents_about/get-one 304 - - 3.415 ms
GET /api/site_settings/get-one 304 - - 2.163 ms
GET /api/user_roles/get-all-except-admin 304 - - 5.851 ms
GET /api/frontPage/get-all 304 - - 6.833 ms
GET /api/frontPage/home 304 - - 8.940 ms
GET / 200 50 - 1.403 ms
GET /api/site_settings/get-one 200 772 - 2.927 ms
GET /api/env_variables/get-one?page=1&size=20 401 121 - 0.235 ms
GET /api/env_variables/public?page=1&size=20 200 385 - 3.126 ms
GET /api/user_roles/get-all-except-admin 200 - - 5.648 ms
GET /api/site_settings/get-one 304 - - 4.249 ms
GET /api/user_roles/get-all-except-admin 304 - - 3.925 ms
